,date,close,,,,,,,,,,
,"Nov 23, 2010",308.73,,,,,,,,,,
,"Nov 22, 2010",313.36,,,,,,,,,,
,"Nov 19, 2010",306.73,,,,,,,,,,
,"Nov 18, 2010",308.43,,,,,,,,,,
,"Nov 17, 2010",300.50,,,,,,,,,,
,"Nov 16, 2010",301.59,,,,,,,,,,
,"Nov 15, 2010",307.04,,,,,,,,,,
,"Nov 12, 2010",308.03,,,,,,,,,,
,"Nov 11, 2010",316.66,,,,,,,,,,
,"Nov 10, 2010",318.03,,,,,,,,,,
,"Nov 9, 2010",316.08,,,,,,,,,,
,"Nov 8, 2010",318.62,,,,,,,,,,
,"Nov 5, 2010",317.13,,,,,,,,,,
,"Nov 4, 2010",318.27,,,,,,,,,,
,"Nov 3, 2010",312.80,,,,,,,,,,
,"Nov 2, 2010",309.36,,,,,,,,,,
,"Nov 1, 2010",304.18,,,,,,,,,,
,"Oct 29, 2010",300.98,,,,,,,,,,
,"Oct 28, 2010",305.24,,,,,,,,,,
,"Oct 27, 2010",307.83,,,,,,,,,,
,"Oct 26, 2010",308.05,,,,,,,,,,
,"Oct 25, 2010",308.84,,,,,,,,,,
,"Oct 22, 2010",307.47,,,,,,,,,,
,"Oct 21, 2010",309.52,,,,,,,,,,
,"Oct 20, 2010",310.53,,,,,,,,,,
,"Oct 19, 2010",309.49,,,,,,,,,,
,"Oct 18, 2010",318.00,,,,,,,,,,
,"Oct 15, 2010",314.74,,,,,,,,,,
,"Oct 14, 2010",302.31,,,,,,,,,,
,"Oct 13, 2010",300.14,,,,,,,,,,
,"Oct 12, 2010",298.54,,,,,,,,,,
,"Oct 11, 2010",295.36,,,,,,,,,,
,"Oct 8, 2010",294.07,,,,,,,,,,
,"Oct 7, 2010",289.22,,,,,,,,,,
,"Oct 6, 2010",289.19,,,,,,,,,,
,"Oct 5, 2010",288.94,,,,,,,,,,
,"Oct 4, 2010",278.64,,,,,,,,,,
,"Oct 1, 2010",282.52,,,,,,,,,,
,"Sep 30, 2010",283.75,,,,,,,,,,
,"Sep 29, 2010",287.37,,,,,,,,,,
,"Sep 28, 2010",286.86,,,,,,,,,,
,"Sep 27, 2010",291.16,,,,,,,,,,
,"Sep 24, 2010",292.32,,,,,,,,,,
,"Sep 23, 2010",288.92,,,,,,,,,,
,"Sep 22, 2010",287.75,,,,,,,,,,
,"Sep 21, 2010",283.77,,,,,,,,,,
,"Sep 20, 2010",283.23,,,,,,,,,,
,"Sep 17, 2010",275.37,,,,,,,,,,
,"Sep 16, 2010",276.57,,,,,,,,,,
,"Sep 15, 2010",270.22,,,,,,,,,,
,"Sep 14, 2010",268.06,,,,,,,,,,
,"Sep 13, 2010",267.04,,,,,,,,,,
,"Sep 10, 2010",263.41,,,,,,,,,,
,"Sep 9, 2010",263.07,,,,,,,,,,
,"Sep 8, 2010",262.92,,,,,,,,,,
,"Sep 7, 2010",257.81,,,,,,,,,,
,"Sep 6, 2010",258.77,,,,,,,,,,
,"Sep 3, 2010",258.77,,,,,,,,,,
,"Sep 2, 2010",252.17,,,,,,,,,,
,"Sep 1, 2010",250.33,,,,,,,,,,
,"Aug 31, 2010",243.10,,,,,,,,,,
,"Aug 30, 2010",242.50,,,,,,,,,,
,"Aug 27, 2010",241.62,,,,,,,,,,
,"Aug 26, 2010",240.28,,,,,,,,,,
,"Aug 25, 2010",242.89,,,,,,,,,,
,"Aug 24, 2010",239.93,,,,,,,,,,
,"Aug 23, 2010",245.80,,,,,,,,,,
,"Aug 20, 2010",249.64,,,,,,,,,,
,"Aug 19, 2010",249.88,,,,,,,,,,
,"Aug 18, 2010",253.07,,,,,,,,,,
,"Aug 17, 2010",251.97,,,,,,,,,,
,"Aug 16, 2010",247.64,,,,,,,,,,
,"Aug 13, 2010",249.10,,,,,,,,,,
,"Aug 12, 2010",251.79,,,,,,,,,,
,"Aug 11, 2010",250.19,,,,,,,,,,
,"Aug 10, 2010",259.41,,,,,,,,,,
,"Aug 9, 2010",261.75,,,,,,,,,,
,"Aug 6, 2010",260.09,,,,,,,,,,
,"Aug 5, 2010",261.70,,,,,,,,,,
,"Aug 4, 2010",262.98,,,,,,,,,,
,"Aug 3, 2010",261.93,,,,,,,,,,
,"Aug 2, 2010",261.85,,,,,,,,,,
,"Jul 30, 2010",257.25,,,,,,,,,,
,"Jul 29, 2010",258.11,,,,,,,,,,
,"Jul 28, 2010",260.96,,,,,,,,,,
,"Jul 27, 2010",264.08,,,,,,,,,,
,"Jul 26, 2010",259.28,,,,,,,,,,
,"Jul 23, 2010",259.94,,,,,,,,,,
,"Jul 22, 2010",259.02,,,,,,,,,,
,"Jul 21, 2010",254.24,,,,,,,,,,
,"Jul 20, 2010",251.89,,,,,,,,,,
,"Jul 19, 2010",245.58,,,,,,,,,,
,"Jul 16, 2010",249.90,,,,,,,,,,
,"Jul 15, 2010",251.45,,,,,,,,,,
,"Jul 14, 2010",252.73,,,,,,,,,,
,"Jul 13, 2010",251.80,,,,,,,,,,
,"Jul 12, 2010",257.28,,,,,,,,,,
,"Jul 9, 2010",259.62,,,,,,,,,,
,"Jul 8, 2010",258.09,,,,,,,,,,
,"Jul 7, 2010",258.66,,,,,,,,,,
,"Jul 6, 2010",248.63,,,,,,,,,,
,"Jul 5, 2010",246.94,,,,,,,,,,
,"Jul 2, 2010",246.94,,,,,,,,,,
,"Jul 1, 2010",248.48,,,,,,,,,,
,"Jun 30, 2010",251.53,,,,,,,,,,
,"Jun 29, 2010",256.17,,,,,,,,,,
,"Jun 28, 2010",268.30,,,,,,,,,,
,"Jun 25, 2010",266.70,,,,,,,,,,
,"Jun 24, 2010",269.00,,,,,,,,,,
,"Jun 23, 2010",270.97,,,,,,,,,,
,"Jun 22, 2010",273.85,,,,,,,,,,
,"Jun 21, 2010",270.17,,,,,,,,,,
,"Jun 18, 2010",274.07,,,,,,,,,,
,"Jun 17, 2010",271.87,,,,,,,,,,
,"Jun 16, 2010",267.25,,,,,,,,,,
,"Jun 15, 2010",259.69,,,,,,,,,,
,"Jun 14, 2010",254.28,,,,,,,,,,
,"Jun 11, 2010",253.51,,,,,,,,,,
,"Jun 10, 2010",250.51,,,,,,,,,,
,"Jun 9, 2010",243.20,,,,,,,,,,
,"Jun 8, 2010",249.33,,,,,,,,,,
,"Jun 7, 2010",250.94,,,,,,,,,,
,"Jun 4, 2010",255.96,,,,,,,,,,
,"Jun 3, 2010",263.12,,,,,,,,,,
,"Jun 2, 2010",263.95,,,,,,,,,,
,"Jun 1, 2010",260.83,,,,,,,,,,
,"May 31, 2010",256.88,,,,,,,,,,
,"May 28, 2010",256.88,,,,,,,,,,
,"May 27, 2010",253.35,,,,,,,,,,
